Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[47]; LR: 0.00025; Loss: 0.143413; Backprop: 0.0935 sec; Batch: 0.4952 sec
[TRAIN] Iter[48]; LR: 0.00025; Loss: 0.153522; Backprop: 0.0936 sec; Batch: 0.4952 sec
[TRAIN] Iter[49]; LR: 0.00025; Loss: 0.124611; Backprop: 0.0935 sec; Batch: 0.4954 sec
[TRAIN] Iter[50]; LR: 0.00025; Loss: 0.170435; Backprop: 0.0938 sec; Batch: 0.4957 sec
[TRAIN] Iter[51]; LR: 0.00025; Loss: 0.154770; Backprop: 0.0933 sec; Batch: 0.4954 sec
[TRAIN] Iter[52]; LR: 0.00025; Loss: 0.138126; Backprop: 0.0935 sec; Batch: 0.4949 sec
[TRAIN] Iter[53]; LR: 0.00025; Loss: 0.153606; Backprop: 0.0934 sec; Batch: 0.4958 sec
[TRAIN] Iter[54]; LR: 0.00025; Loss: 0.147172; Backprop: 0.0943 sec; Batch: 0.4972 sec
[TRAIN] Iter[55]; LR: 0.00025; Loss: 0.117887; Backprop: 0.0937 sec; Batch: 0.4951 sec
[TRAIN] Iter[56]; LR: 0.00025; Loss: 0.165755; Backprop: 0.0933 sec; Batch: 0.4950 sec
[TRAIN] Iter[57]; LR: 0.00025; Loss: 0.120789; Backprop: 0.0939 sec; Batch: 0.4957 sec
[TRAIN] Iter[58]; LR: 0.00025; Loss: 0.119783; Backprop: 0.0932 sec; Batch: 0.4959 sec
[TRAIN] Iter[59]; LR: 0.00025; Loss: 0.075251; Backprop: 0.0940 sec; Batch: 0.4958 sec
[TRAIN] Iter[60]; LR: 0.00025; Loss: 0.122362; Backprop: 0.0934 sec; Batch: 0.4957 sec
[TRAIN] Iter[61]; LR: 0.00025; Loss: 0.176705; Backprop: 0.0936 sec; Batch: 0.4955 sec
[TRAIN] Iter[62]; LR: 0.00025; Loss: 0.117767; Backprop: 0.0933 sec; Batch: 0.4954 sec
[TRAIN] Iter[63]; LR: 0.00025; Loss: 0.124320; Backprop: 0.0937 sec; Batch: 0.4954 sec
[TRAIN] Iter[64]; LR: 0.00025; Loss: 0.135988; Backprop: 0.0932 sec; Batch: 0.4950 sec
[TRAIN] Iter[65]; LR: 0.00025; Loss: 0.134201; Backprop: 0.0934 sec; Batch: 0.4953 sec
[TRAIN] Iter[66]; LR: 0.00025; Loss: 0.128184; Backprop: 0.0934 sec; Batch: 0.4958 sec
[TRAIN] Iter[67]; LR: 0.00025; Loss: 0.141238; Backprop: 0.0937 sec; Batch: 0.4951 sec
[TRAIN] Iter[68]; LR: 0.00025; Loss: 0.117212; Backprop: 0.0936 sec; Batch: 0.4954 sec
[TRAIN] Iter[69]; LR: 0.00025; Loss: 0.126524; Backprop: 0.0937 sec; Batch: 0.4963 sec
[TRAIN] Iter[70]; LR: 0.00025; Loss: 0.111616; Backprop: 0.0933 sec; Batch: 0.4956 sec
[TRAIN] Iter[71]; LR: 0.00025; Loss: 0.109144; Backprop: 0.0934 sec; Batch: 0.4953 sec
[TRAIN] Iter[72]; LR: 0.00025; Loss: 0.117318; Backprop: 0.0941 sec; Batch: 0.4970 sec
[TRAIN] Iter[73]; LR: 0.00025; Loss: 0.135727; Backprop: 0.0936 sec; Batch: 0.4963 sec
[TRAIN] Iter[74]; LR: 0.00025; Loss: 0.124891; Backprop: 0.0938 sec; Batch: 0.4960 sec
[TRAIN] Iter[75]; LR: 0.00025; Loss: 0.122370; Backprop: 0.0937 sec; Batch: 0.4959 sec
[TRAIN] Iter[76]; LR: 0.00025; Loss: 0.100361; Backprop: 0.0933 sec; Batch: 0.4955 sec
[TRAIN] Iter[77]; LR: 0.00025; Loss: 0.118174; Backprop: 0.0939 sec; Batch: 0.4965 sec
[TRAIN] Iter[78]; LR: 0.00025; Loss: 0.113897; Backprop: 0.0936 sec; Batch: 0.4961 sec
[TRAIN] Iter[79]; LR: 0.00025; Loss: 0.093213; Backprop: 0.0938 sec; Batch: 0.4960 sec
